Title	Description	Score	Category	DateTime	DocumentId
"uk rolls out astrazeneca vaccine, hails lead in fight against coronavirus - reuters"	"UK rolls out AstraZeneca vaccine, hails lead in fight against coronavirus  Reuters"	0.8	Science	1/4/2021 0:05	Doc 1
"uk rolls out astrazeneca vaccine, touts british science triumph"	"Britain began vaccinating its population on Monday with the Covid-19 shot developed by Oxford University and AstraZeneca, touting its position as the first Western country to roll out an inoculation ..."	0.9	Science	1/4/2021 0:36	Doc 2
"india’s emergency approval to 2 covid vaccines a leap of science, says venkaiah naidu"	"In a Facebook post, Vice President Naidu said this is an indication of how ‘Aatmanirbhar Bharat’ can benefit not only Indians but humanity as a whole."	0.85	Science	1/4/2021 1:09	Doc 3
"covid-19 is dangerous, not vaccines -- 20 scientists, doctors, and concerned individuals - codeblue"	"Covid-19 Is Dangerous, Not Vaccines -- 20 Scientists, Doctors, And Concerned Individuals  CodeBlue"	0.7	Science	1/4/2021 2:06	Doc 4
"india's covid vaccine is a leap of science, says vice president naidu"	Vice President of India and Chairman of Rajya Sabha M. Venkaiah Naidu has hailed the emergency authorization of two Covid vaccines yesterday as India's leap of science that benefits the humanity at ...	0.9	Science	1/4/2021 4:03	Doc 5
"india's covid vaccine is a leap of science, says vp naidu"	A day after the Drugs Controller General of India DCGI gave its nod for the emergency use approval for two indigenous vaccines against COVID-19 on Sunday Vic ...	0.4	Science	1/4/2021 4:47	Doc 6
the uk's vaccine approach isn't 'anti-science' - spectator.co.uk	The UK's vaccine approach isn't 'anti-science'  Spectator.co.uk	0.8	Science	1/4/2021 4:51	Doc 7
"india’s covid-19 vaccine is a leap of science, says vice president venkaiah naidu"	The Vice President of India and Chairman of Rajya Sabha M. Venkaiah Naidu has hailed the emergency authorization of two Covid vaccines as India's leap of science that benefits humanity at large.	0.7	Science	1/4/2021 5:31	Doc 8
"emergency authorisation to 2 covid-19 vaccines india's leap of science, says naidu"	"Vice President M Venkaiah Naidu on Monday hailed the approval given to two anti-coronavirus vaccines for restricted emergency use in India as the country's ""leap of science"" that benefits the humanity ..."	0.69	Science	1/4/2021 5:36	Doc 9
"vaccine approval is a leap of science, not faith, says venkaiah naidu"	"Putting his weight behind Bharat Biotech’s Covaxin, in a Facebook post, Mr. Naidu wrote, “India’s indigenous vaccine has certain unique features based on the whole virus approach. This is a ..."	0.8	Science	1/4/2021 6:32	Doc 10
"covaxin: science, not pride will help india build trust in this vaccine - business standard"	"Covaxin: Science, not pride will help India build trust in this vaccine  Business Standard"	0.72	Science	1/4/2021 6:48	Doc 11
hey covid vaccine sceptics ⁠— healthcare experts answer some of the worrying questions - business insider india	Hey COVID vaccine sceptics ⁠— healthcare experts answer some of the worrying questions  Business Insider India	0.75	Science	1/4/2021 7:18	Doc 12
'never seen anything like it': gagandeep kang on india's vaccine approvals - the wire science	'Never Seen Anything Like it': Gagandeep Kang on India's Vaccine Approvals  The Wire Science	0.7	Science	1/4/2021 10:22	Doc 13
vaccine's last mile - american council on science and health	Vaccine's Last Mile  American Council on Science and Health	0.6	Science	1/4/2021 12:00	Doc 14
science education couldn’t be more important as we endure the covid-19 pandemic | opinion - the philadelphia inquirer	Science education couldn’t be more important as we endure the COVID-19 pandemic | Opinion  The Philadelphia Inquirer	0	Science	1/4/2021 12:11	Doc 15
gov. sununu reaffirms on cnn he has no plans to mandate covid-19 vaccine - wmur manchester	Gov. Sununu reaffirms on CNN he has no plans to mandate COVID-19 vaccine  WMUR Manchester	0.9	Science	1/4/2021 13:54	Doc 16
expert insight: sars-cov-2 serology testing in the setting of vaccination - selectscience	Expert Insight: SARS-CoV-2 serology testing in the setting of vaccination  SelectScience	0.7	Science	1/4/2021 13:55	Doc 17
"india to start world’s biggest covid-19 vaccination programme, says pm modi; thanks scientists - the indian express"	"India to start world’s biggest Covid-19 vaccination programme, says PM Modi; thanks scientists  The Indian Express"	0.9	Science	1/4/2021 14:14	Doc 18
"vaccine approval is a leap of science, not faith, says venkaiah naidu - the hindu"	"Vaccine approval is a leap of science, not faith, says Venkaiah Naidu  The Hindu"	0.87	Science	1/4/2021 14:31	Doc 19
"coronavirus latest news: new lockdown from midnight in scotland, nicola sturgeon announces - watch live - telegraph.co.uk"	"Coronavirus latest news: New lockdown from midnight in Scotland, Nicola Sturgeon announces - watch live  Telegraph.co.uk"	0	Science	1/4/2021 14:51	Doc 20
