Title	Description	Score	Category	DateTime	DocumentId
"Sports Calendar 2021: From T20 World Cup to Tokyo Olympics, check dates of all major events here"	Sports wasnƒ??t untouched either by coronavirus pandemic and it led to the delay or cancellation of several major sporting events.	0	Sports	1/1/2021 1:56	Doc 1
Chance to right-size after pandemic pause - Hindustan Times	Chance to right-size after pandemic pause?ÿ?ÿHindustan Times	0	Sports	1/1/2021 2:36	Doc 2
Billionaire Jeff Bezosƒ??s Xmas bonus for cricketers - The Australian	Billionaire Jeff Bezosƒ??s Xmas bonus for cricketers?ÿ?ÿThe Australian	0.2	Sports	1/1/2021 2:37	Doc 3
New Zealand skipper Sophie Devine takes diabetes in her stride - Hindustan Times	New Zealand skipper Sophie Devine takes diabetes in her stride?ÿ?ÿHindustan Times	0.2	Sports	1/1/2021 2:56	Doc 4
MS Dhoni to Suresh Raina: Indian cricketers who retired from international cricket in 2020 - Times Now	MS Dhoni to Suresh Raina: Indian cricketers who retired from international cricket in 2020?ÿ?ÿTimes Now	0.8	Sports	1/1/2021 3:47	Doc 5
REN vs ST BBL Dream11 Prediction Today: Fantasy cricket tips for Melbourne Renegades vs Sydney Thunder - Times Now	REN vs ST BBL Dream11 Prediction Today: Fantasy cricket tips for Melbourne Renegades vs Sydney Thunder?ÿ?ÿTimes Now	0.6	Sports	1/1/2021 5:25	Doc 6
Australia's batsmen must grind to foil India's plans: Labuschagne - The Daily Star	Australia's batsmen must grind to foil India's plans: Labuschagne?ÿ?ÿThe Daily Star	0.7	Sports	1/1/2021 6:18	Doc 7
"ƒ??New year, New feels, New chancesƒ??: Cricket fraternity welcomes 2021 - Hindustan Times"	"ƒ??New year, New feels, New chancesƒ??: Cricket fraternity welcomes 2021?ÿ?ÿHindustan Times"	0.3	Sports	1/1/2021 6:19	Doc 8
CSA Interim Board and Members' Council endorse new domestic cricket structure	Members' Council has resolved to accept the recommendations of the David Richardson Task Team to restructure the domestic ...	0.2	Sports	1/1/2021 6:39	Doc 9
Punjab Sports Minister inaugurates SBPs new website	Punjab Minister for Sports and Youth Affairs Rai Taimoor Khan Bhatti inaugurated the new website of Youth Affairs and Sports Department Punjab during a high-profile meeting here at National Hockey ...	0	Sports	1/1/2021 7:09	Doc 10
State of the Nation - Cricket will survive but not as we have come to love it - Yorkshire Post	State of the Nation - Cricket will survive but not as we have come to love it?ÿ?ÿYorkshire Post	0.2	Sports	1/1/2021 7:30	Doc 11
"No retirement plan as of now, two World Cups to go: Chris Gayle - Times of India"	"No retirement plan as of now, two World Cups to go: Chris Gayle?ÿ?ÿTimes of India"	0.4	Sports	1/1/2021 7:50	Doc 12
Little red-ball cricket in last 12 months letting Steven Smith down	"Steve Smith's poor form is because he has not played enough red ball cricket due to Covid-19 situation this year, says Australia's top-order batsman Marnus Labuschagne, who is also one of Smith's ..."	0.6	Sports	1/1/2021 8:02	Doc 13
"India vs Australia: ƒ??On the field, he is the bowling captainƒ??, Pragyan Ojha names the player whoƒ??s leading... - Hindustan Times"	"India vs Australia: ƒ??On the field, he is the bowling captainƒ??, Pragyan Ojha names the player whoƒ??s leading...?ÿ?ÿHindustan Times"	0.5	Sports	1/1/2021 8:35	Doc 14
Rashid Khan Remembers Late Father And Mother In Emotional Post - NDTV Sports	Rashid Khan Remembers Late Father And Mother In Emotional Post?ÿ?ÿNDTV Sports	0	Sports	1/1/2021 8:35	Doc 15
Sports club members delivered goodwill initiative	"The club arranged a socially distanced event at its pavilion to gift wrap the donations. Then, in conjunction with local schools, it delivered food hampers to 32 homes and supplie ..."	0	Sports	1/1/2021 8:42	Doc 16
Cricket South Africa To Undergo Major Overhaul In Domestic Structure	The decision comes at a time when CSA is embattled financially due to fans not being allowed at cricket matches due to COVID-19 pandemic ...	0.2	Sports	1/1/2021 8:51	Doc 17
