Title,Description,Category,link,DateTime
Mushtaq Ali T20: Karnataka state team gearing up in isolation - Times of India,Mushtaq Ali T20: Karnataka state team gearing up in isolation  Times of India,Sports,https://timesofindia.indiatimes.com/sports/cricket/news/mushtaq-ali-t20-karnataka-state-team-gearing-up-in-isolation/articleshow/80061581.cms,2021-01-01 13:35:00
"No retirement plan as of now, two World Cups to go: Chris Gayle - Times of India","No retirement plan as of now, two World Cups to go: Chris Gayle  Times of India",Sports,https://timesofindia.indiatimes.com/sports/cricket/news/no-retirement-plan-as-of-now-two-world-cups-to-go-chris-gayle/articleshow/80058090.cms,2021-01-01 07:50:00
State of the Nation - Cricket will survive but not as we have come to love it - Yorkshire Post,State of the Nation - Cricket will survive but not as we have come to love it  Yorkshire Post,Sports,https://www.yorkshirepost.co.uk/sport/cricket/state-nation-cricket-will-survive-not-we-have-come-love-it-3083000,2021-01-01 07:30:00
Rashid Khan Remembers Late Father And Mother In Emotional Post - NDTV Sports,Rashid Khan Remembers Late Father And Mother In Emotional Post  NDTV Sports,Sports,https://sports.ndtv.com/cricket/rashid-khan-remembers-late-father-and-mother-in-emotional-post-2346444,2021-01-01 08:35:27
MS Dhoni to Suresh Raina: Indian cricketers who retired from international cricket in 2020 - Times Now,MS Dhoni to Suresh Raina: Indian cricketers who retired from international cricket in 2020  Times Now,Sports,https://www.timesnownews.com/sports/cricket/article/ms-dhoni-to-suesh-raina-indian-cricketers-who-bid-adieu-to-international-cricket-in/701565,2021-01-01 03:47:00
Australia's batsmen must grind to foil India's plans: Labuschagne - The Daily Star,Australia's batsmen must grind to foil India's plans: Labuschagne  The Daily Star,Sports,https://www.thedailystar.net/sports/cricket/news/australias-batsmen-must-grind-foil-indias-plans-labuschagne-2020741,2021-01-01 06:18:44
PCB Awards 2020: Babar Azam named Most Valuable Cricketer of the Year - Times of India,PCB Awards 2020: Babar Azam named Most Valuable Cricketer of the Year  Times of India,Sports,https://timesofindia.indiatimes.com/sports/cricket/news/pcb-awards-2020-babar-azam-named-most-valuable-cricketer-of-the-year/articleshow/80061324.cms,2021-01-01 13:11:00
How planning his training sessions helped Ajinkya Rahane for the challenge in Australia - Times of India,How planning his training sessions helped Ajinkya Rahane for the challenge in Australia  Times of India,Sports,https://timesofindia.indiatimes.com/sports/cricket/india-in-australia/how-planning-his-training-sessions-helped-ajinkya-rahane-for-the-challenge-in-australia/articleshow/80058851.cms,2021-01-01 09:11:00
Chance to right-size after pandemic pause - Hindustan Times,Chance to right-size after pandemic pause  Hindustan Times,Sports,https://www.hindustantimes.com/cricket/chance-to-right-size-after-pandemic-pause/story-kmuruGuiiw13zLcL5pXyOI.html,2021-01-01 02:36:36
Bumrah has mastered the art we Pakistanis used to have once: Shoaib Akhtar - Times of India,Bumrah has mastered the art we Pakistanis used to have once: Shoaib Akhtar  Times of India,Sports,https://timesofindia.indiatimes.com/sports/cricket/india-in-australia/bumrah-has-mastered-the-art-we-pakistanis-used-to-have-once-shoaib-akhtar/articleshow/80060681.cms,2021-01-01 12:05:00
