Title,Description,Category,link,DateTime
chance to right-size after pandemic pause - hindustan times,Chance to right-size after pandemic pause  Hindustan Times,Sports,https://www.hindustantimes.com/cricket/chance-to-right-size-after-pandemic-pause/story-kmuruGuiiw13zLcL5pXyOI.html,2021-01-01 02:36:36
billionaire jeff bezos’s xmas bonus for cricketers - the australian,Billionaire Jeff Bezos’s Xmas bonus for cricketers  The Australian,Sports,https://www.theaustralian.com.au/sport/cricket/billionaire-jeff-bezoss-xmas-bonus-for-cricketers/news-story/23c33df6fda34835ad78d32557764218,2021-01-01 02:37:00
new zealand skipper sophie devine takes diabetes in her stride - hindustan times,New Zealand skipper Sophie Devine takes diabetes in her stride  Hindustan Times,Sports,https://www.hindustantimes.com/cricket/new-zealand-skipper-sophie-devine-takes-diabetes-in-her-stride/story-CdSFJjs0p8E9TjJcgn1QxH.html,2021-01-01 02:56:58
ms dhoni to suresh raina: indian cricketers who retired from international cricket in 2020 - times now,MS Dhoni to Suresh Raina: Indian cricketers who retired from international cricket in 2020  Times Now,Sports,https://www.timesnownews.com/sports/cricket/article/ms-dhoni-to-suesh-raina-indian-cricketers-who-bid-adieu-to-international-cricket-in/701565,2021-01-01 03:47:00
ren vs st bbl dream11 prediction today: fantasy cricket tips for melbourne renegades vs sydney thunder - times now,REN vs ST BBL Dream11 Prediction Today: Fantasy cricket tips for Melbourne Renegades vs Sydney Thunder  Times Now,Sports,https://www.timesnownews.com/sports/cricket/article/ren-vs-st-bbl-dream11-prediction-today-fantasy-cricket-tips-for-melbourne-renegades-vs-sydney-thunder/701650,2021-01-01 05:25:57
australia's batsmen must grind to foil india's plans: labuschagne - the daily star,Australia's batsmen must grind to foil India's plans: Labuschagne  The Daily Star,Sports,https://www.thedailystar.net/sports/cricket/news/australias-batsmen-must-grind-foil-indias-plans-labuschagne-2020741,2021-01-01 06:18:44
"‘new year, new feels, new chances’: cricket fraternity welcomes 2021 - hindustan times","‘New year, New feels, New chances’: Cricket fraternity welcomes 2021  Hindustan Times",Sports,https://www.hindustantimes.com/cricket/goodbye-2020-new-year-new-feels-new-chances-cricket-fraternity-welcomes-2021/story-Sxh2a6WquGF7USrvv89m1H.html,2021-01-01 06:19:29
state of the nation - cricket will survive but not as we have come to love it - yorkshire post,State of the Nation - Cricket will survive but not as we have come to love it  Yorkshire Post,Sports,https://www.yorkshirepost.co.uk/sport/cricket/state-nation-cricket-will-survive-not-we-have-come-love-it-3083000,2021-01-01 07:30:00
"no retirement plan as of now, two world cups to go: chris gayle - times of india","No retirement plan as of now, two World Cups to go: Chris Gayle  Times of India",Sports,https://timesofindia.indiatimes.com/sports/cricket/news/no-retirement-plan-as-of-now-two-world-cups-to-go-chris-gayle/articleshow/80058090.cms,2021-01-01 07:50:00
"india vs australia: ‘on the field, he is the bowling captain’, pragyan ojha names the player who’s leading... - hindustan times","India vs Australia: ‘On the field, he is the bowling captain’, Pragyan Ojha names the player who’s leading...  Hindustan Times",Sports,https://www.hindustantimes.com/cricket/india-vs-australia-on-the-field-he-is-the-bowling-captain-pragyan-ojha-names-the-player-who-s-leading-indian-bowling-from-the-front/story-ijALc9R81tj1ilKl7SPnrI.html,2021-01-01 08:35:24
rashid khan remembers late father and mother in emotional post - ndtv sports,Rashid Khan Remembers Late Father And Mother In Emotional Post  NDTV Sports,Sports,https://sports.ndtv.com/cricket/rashid-khan-remembers-late-father-and-mother-in-emotional-post-2346444,2021-01-01 08:35:27
how planning his training sessions helped ajinkya rahane for the challenge in australia - times of india,How planning his training sessions helped Ajinkya Rahane for the challenge in Australia  Times of India,Sports,https://timesofindia.indiatimes.com/sports/cricket/india-in-australia/how-planning-his-training-sessions-helped-ajinkya-rahane-for-the-challenge-in-australia/articleshow/80058851.cms,2021-01-01 09:11:00
"anustup majumdar to lead bengal in mushtaq ali t20, shami's younger brother gets call-up - deccan herald","Anustup Majumdar to lead Bengal in Mushtaq Ali T20, Shami's younger brother gets call-up  Deccan Herald",Sports,https://www.deccanherald.com/sports/cricket/anustup-majumdar-to-lead-bengal-in-mushtaq-ali-t20-shamis-younger-brother-gets-call-up-933978.html,2021-01-01 10:07:23
india vs australia: rohit sharma replaces cheteshwar pujara as vice-captain of indian test team - times of india,India vs Australia: Rohit Sharma replaces Cheteshwar Pujara as vice-captain of Indian Test team  Times of India,Sports,https://timesofindia.indiatimes.com/sports/cricket/india-in-australia/india-vs-australia-rohit-sharma-replaces-cheteshwar-pujara-as-vice-captain-of-indian-test-team/articleshow/80059560.cms,2021-01-01 10:17:00
india haven't won anything: aakash chopra questions ms dhoni's inclusion in icc's t20i team of the decade - times now,India haven't won anything: Aakash Chopra questions MS Dhoni's inclusion in ICC's T20I Team of the Decade  Times Now,Sports,https://www.timesnownews.com/sports/cricket/article/india-havent-won-anything-aakash-chopra-questions-ms-dhonis-inclusion-in-iccs-t20i-team-of-the-decade/701753,2021-01-01 10:25:00
"factbox-cricket-south africa v sri lanka, second test - devdiscourse","FACTBOX-Cricket-South Africa v Sri Lanka, second test  Devdiscourse",Sports,https://www.devdiscourse.com/article/sports-games/1390454-factbox-cricket-south-africa-v-sri-lanka-second-test,2021-01-01 10:28:10
"racing against time, babar azam has lengthy net session ahead of second test - deccan herald","Racing against time, Babar Azam has lengthy net session ahead of second Test  Deccan Herald",Sports,https://www.deccanherald.com/sports/cricket/racing-against-time-babar-azam-has-lengthy-net-session-ahead-of-second-test-934011.html,2021-01-01 11:20:30
shikhar dhawan's hilarious dance video with his pets leaves kl rahul and hardik pandya in splits - watch - times now,Shikhar Dhawan's hilarious dance video with his pets leaves KL Rahul and Hardik Pandya in splits - Watch  Times Now,Sports,https://www.timesnownews.com/sports/cricket/article/shikhar-dhawans-hilarious-dance-video-with-his-pets-leaves-kl-rahul-and-hardik-pandya-in-splits-watch/701790,2021-01-01 11:42:48
"glenton stuurman ruled out of wanderers test, released from proteas squad - news24","Glenton Stuurman ruled out of Wanderers Test, released from Proteas squad  News24",Sports,https://www.news24.com/sport/cricket/proteas/glenton-stuurman-ruled-out-of-wanderers-test-released-from-proteas-squad-20210101,2021-01-01 11:58:17
bumrah has mastered the art we pakistanis used to have once: shoaib akhtar - times of india,Bumrah has mastered the art we Pakistanis used to have once: Shoaib Akhtar  Times of India,Sports,https://timesofindia.indiatimes.com/sports/cricket/india-in-australia/bumrah-has-mastered-the-art-we-pakistanis-used-to-have-once-shoaib-akhtar/articleshow/80060681.cms,2021-01-01 12:05:00
it wasn't lbw call but 'get lost' comment from aussies that made me walk out in 1981: sunil gavaskar - times of india,It wasn't LBW call but 'get lost' comment from Aussies that made me walk out in 1981: Sunil Gavaskar  Times of India,Sports,https://timesofindia.indiatimes.com/sports/cricket/india-in-australia/it-wasnt-lbw-call-but-get-lost-comment-from-aussies-that-made-me-walk-out-in-1981-sunil-gavaskar/articleshow/80060889.cms,2021-01-01 12:33:00
"england squad clears covid-19 test, set to travel to sri lanka for test series - times of india","England squad clears COVID-19 test, set to travel to Sri Lanka for Test series  Times of India",Sports,https://timesofindia.indiatimes.com/sports/cricket/news/england-squad-clears-covid-19-test-set-to-travel-to-sri-lanka-for-test-series/articleshow/80061124.cms,2021-01-01 12:47:00
pcb awards 2020: babar azam named most valuable cricketer of the year - times of india,PCB Awards 2020: Babar Azam named Most Valuable Cricketer of the Year  Times of India,Sports,https://timesofindia.indiatimes.com/sports/cricket/news/pcb-awards-2020-babar-azam-named-most-valuable-cricketer-of-the-year/articleshow/80061324.cms,2021-01-01 13:11:00
mushtaq ali t20: karnataka state team gearing up in isolation - times of india,Mushtaq Ali T20: Karnataka state team gearing up in isolation  Times of India,Sports,https://timesofindia.indiatimes.com/sports/cricket/news/mushtaq-ali-t20-karnataka-state-team-gearing-up-in-isolation/articleshow/80061581.cms,2021-01-01 13:35:00
hur vs sta dream11 prediction today: fantasy cricket tips for hobart hurricanes vs melbourne stars - times now,HUR vs STA Dream11 prediction today: Fantasy cricket tips for Hobart Hurricanes vs Melbourne Stars  Times Now,Sports,https://www.timesnownews.com/sports/cricket/article/hur-vs-sta-dream11-prediction-today-fantasy-cricket-tips-for-hobart-hurricanes-vs-melbourne-stars/701851,2021-01-01 14:36:00
nk vs ov t20 dream11 prediction today: fantasy cricket tips for northern knights vs otago volts - times now,NK vs OV T20 Dream11 prediction today: Fantasy cricket tips for Northern Knights vs Otago Volts  Times Now,Sports,https://www.timesnownews.com/sports/cricket/article/nk-vs-ov-t20-dream11-prediction-today-fantasy-cricket-tips-for-northern-knights-vs-otago-volts/701859,2021-01-01 14:41:00
williamson: a nice guy who finished first - deccan herald,Williamson: A nice guy who finished first  Deccan Herald,Sports,https://www.deccanherald.com/sports/cricket/williamson-a-nice-guy-who-finished-first-934095.html,2021-01-01 14:45:02
"south africa to undergo major overhaul in domestic structure, to introduce two-division league system - times of india","South Africa to undergo major overhaul in domestic structure, to introduce two-division league system  Times of India",Sports,https://timesofindia.indiatimes.com/sports/cricket/news/south-africa-to-undergo-major-overhaul-in-domestic-structure-to-introduce-two-division-league-system/articleshow/80062460.cms,2021-01-01 15:16:00
"t natarajan rises! from playing tennis ball cricket in chinnappampatti to making it into indian test squad, - latestly","T Natarajan Rises! From Playing Tennis Ball Cricket in Chinnappampatti to Making It Into Indian Test Squad,  LatestLY",Sports,https://www.latestly.com/sports/cricket/t-natarajan-rises-from-playing-tennis-ball-cricket-in-chinnappampatti-to-it-making-into-indian-test-squad-know-all-about-the-inspirational-journey-2243100.html,2021-01-01 15:16:34
"garg named uttar pradesh captain; bhuvneshwar, raina in squad - times of india","Garg named Uttar Pradesh captain; Bhuvneshwar, Raina in squad  Times of India",Sports,https://timesofindia.indiatimes.com/sports/cricket/news/garg-named-uttar-pradesh-captain-bhuvneshwar-raina-in-squad/articleshow/80062726.cms,2021-01-01 16:05:00
indian cricket team gets a strict warning from australia’s sports ministry,"Indian Cricket Team: Life in bio-bubble is never easy for the cricketers. Ever since the play has resumed post-Covid-19, the players have to undergo mandatory 14-days quarantine. The players go ...",Sports,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=413D50B5FEB44A3888E33C5FF9701260&url=https%3a%2f%2fthecricketlounge.com%2f2021%2f01%2findian-cricket-team-gets-a-strict-warning-from-australias-sports-ministry%2f&c=11715952213847619338&mkt=en-in,2021-01-03 03:14:00
zimbabwe halts all cricket activities after spike in covid-19 cases,"Zimbabwe's last international assignment was a six-match limited overs series in Pakistan in November 2020. The country has reportedly recorded 1,342 positive cases and 29 deaths in the space of one ...",Sports,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=413D50B5FEB44A3888E33C5FF9701260&url=https%3a%2f%2fwww.indiatvnews.com%2fsports%2fcricket%2fzimbabwe-halts-all-cricket-activities-after-spike-in-covid-19-cases-675828&c=7222352978419914415&mkt=en-in,2021-01-03 07:54:00
nk vs cs dream11 prediction today: fantasy cricket tips for northern knights vs central districts,Northern Knights will square off against Central Districts in the 10th match of the Super Smash 2020/21. The Super Smash 2020/21 action will continue in New Zealand as Northern Knights (NK) take on ...,Sports,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=413D50B5FEB44A3888E33C5FF9701260&url=https%3a%2f%2fwww.timesnownews.com%2fsports%2fcricket%2farticle%2fnk-vs-cs-dream11-prediction-today-fantasy-cricket-tips-for-northern-knights-vs-central-districts%2f702424&c=8921506941151569477&mkt=en-in,2021-01-03 08:14:00
